Name_of_algo,MSE,RMSE,MAPE,MAE
Baseline,0.2508904152685763,0.5008896238380032,5.8365016382496195,0.4208339973439573
Random Forest Regressor,0.3001336931869636,0.5478445885348906,5.873056514373406,0.430010934376735
Decision Tree Regressor,0.3178915253210222,0.5638186989813501,5.813409321455472,0.42899409339988104
SVM Regressor,0.32855832269325763,0.5732000721329836,5.886250570570282,0.43830680501679603
LSTM,0.4176376390261898,0.6462488986653593,6.335310962359944,0.47360513360883444
ARIMAX,0.3114367968988051,0.5580652263838028,6.908331409817844,0.4905864300244932
Random Forest Classification,0.4,0.6324555320336759,5.833333333333333,0.4
Decision Tree Classification,0.4,0.6324555320336759,5.357142857142857,0.4
SVM Classification,0.4,0.6324555320336759,5.833333333333333,0.4
